# x, y, theta, v_l, v_r
273.54, 1744.03, 2.912, 11.73, 11.73
273.43, 1744.06, 2.912, 11.73, 11.73
273.31, 1744.08, 2.912, 11.73, 11.73
273.20, 1744.11, 2.912, 11.73, 11.73
273.08, 1744.14, 2.912, 11.73, 11.73
272.97, 1744.16, 2.912, 11.73, 11.73
272.86, 1744.19, 2.912, 11.73, 11.73
272.74, 1744.22, 2.912, 11.73, 11.73
272.63, 1744.24, 2.912, 11.73, 11.73
272.51, 1744.27, 2.912, 11.73, 11.73
272.40, 1744.30, 2.912, 11.73, 11.73
272.29, 1744.32, 2.912, 11.73, 11.73
272.17, 1744.35, 2.912, 11.73, 11.73
272.06, 1744.38, 2.912, 11.73, 11.73
271.94, 1744.40, 2.912, 11.73, 11.73
271.83, 1744.43, 2.912, 11.73, 11.73
271.71, 1744.46, 2.912, 11.73, 11.73
271.60, 1744.48, 2.912, 11.73, 11.73
271.49, 1744.51, 2.912, 11.73, 11.73
271.37, 1744.54, 2.912, 11.73, 11.73
271.26, 1744.56, 2.912, 11.73, 11.73
271.14, 1744.59, 2.912, 11.73, 11.73
271.03, 1744.62, 2.912, 11.73, 11.73
270.91, 1744.64, 2.912, 11.73, 11.73
270.80, 1744.67, 2.912, 11.73, 11.73
270.69, 1744.70, 2.912, 11.73, 11.73
270.57, 1744.72, 2.912, 11.73, 11.73
270.46, 1744.75, 2.912, 11.73, 11.73
270.34, 1744.78, 2.912, 11.73, 11.73
270.23, 1744.80, 2.912, 11.73, 11.73
270.11, 1744.83, 2.912, 11.73, 11.73
270.00, 1744.86, 2.912, 11.73, 11.73
269.89, 1744.88, 2.912, 11.73, 11.73
269.77, 1744.91, 2.912, 11.73, 11.73
269.66, 1744.94, 2.912, 11.73, 11.73
269.54, 1744.96, 2.912, 11.73, 11.73
269.43, 1744.99, 2.912, 11.73, 11.73
269.32, 1745.02, 2.912, 11.73, 11.73
269.20, 1745.04, 2.912, 11.73, 11.73
269.09, 1745.07, 2.912, 11.73, 11.73
268.97, 1745.10, 2.912, 11.73, 11.73
268.86, 1745.12, 2.912, 11.73, 11.73
268.74, 1745.15, 2.912, 11.73, 11.73
268.63, 1745.18, 2.912, 11.73, 11.73
268.52, 1745.20, 2.912, 11.73, 11.73
268.40, 1745.23, 2.912, 11.73, 11.73
268.29, 1745.26, 2.912, 11.73, 11.73
268.17, 1745.28, 2.912, 11.73, 11.73
268.06, 1745.31, 2.912, 11.73, 11.73
267.94, 1745.34, 2.912, 11.73, 11.73
267.83, 1745.36, 2.912, 11.73, 11.73
267.72, 1745.39, 2.912, 11.73, 11.73
267.60, 1745.42, 2.912, 11.73, 11.73
267.49, 1745.44, 2.912, 11.73, 11.73
267.37, 1745.47, 2.912, 11.73, 11.73
267.26, 1745.50, 2.912, 11.73, 11.73
267.14, 1745.52, 2.912, 11.73, 11.73
267.03, 1745.55, 2.912, 11.73, 11.73
266.92, 1745.58, 2.912, 11.73, 11.73
266.80, 1745.60, 2.912, 11.73, 11.73
266.69, 1745.63, 2.912, 11.73, 11.73
266.57, 1745.66, 2.912, 11.73, 11.73
266.46, 1745.68, 2.912, 11.73, 11.73
266.35, 1745.71, 2.912, 11.73, 11.73
266.23, 1745.74, 2.912, 11.73, 11.73
266.12, 1745.76, 2.912, 11.73, 11.73
266.00, 1745.79, 2.912, 11.73, 11.73
265.89, 1745.82, 2.912, 11.73, 11.73
265.77, 1745.84, 2.912, 11.73, 11.73
265.66, 1745.87, 2.912, 11.73, 11.73
265.55, 1745.90, 2.912, 11.73, 11.73
265.43, 1745.92, 2.912, 11.73, 11.73
265.32, 1745.95, 2.912, 11.73, 11.73
265.20, 1745.98, 2.912, 11.73, 11.73
265.09, 1746.00, 2.912, 11.73, 11.73
264.97, 1746.03, 2.912, 11.73, 11.73
264.86, 1746.06, 2.912, 11.73, 11.73
264.75, 1746.08, 2.912, 11.73, 11.73
264.63, 1746.11, 2.912, 11.73, 11.73
264.52, 1746.14, 2.912, 11.73, 11.73
264.40, 1746.16, 2.912, 11.73, 11.73
264.29, 1746.19, 2.912, 11.73, 11.73
264.17, 1746.22, 2.912, 11.73, 11.73
264.06, 1746.24, 2.912, 11.73, 11.73
263.95, 1746.27, 2.912, 11.73, 11.73
263.83, 1746.30, 2.912, 11.73, 11.73
263.72, 1746.32, 2.912, 11.73, 11.73
263.60, 1746.35, 2.912, 11.73, 11.73
263.49, 1746.38, 2.912, 11.73, 11.73
263.38, 1746.40, 2.912, 11.73, 11.73
263.26, 1746.43, 2.912, 11.73, 11.73
263.15, 1746.46, 2.912, 11.73, 11.73
263.03, 1746.48, 2.912, 11.73, 11.73
262.92, 1746.51, 2.912, 11.73, 11.73
262.80, 1746.54, 2.912, 11.73, 11.73
262.69, 1746.56, 2.912, 11.73, 11.73
262.58, 1746.59, 2.912, 11.73, 11.73
262.46, 1746.62, 2.912, 11.73, 11.73
262.35, 1746.64, 2.912, 11.73, 11.73
262.23, 1746.67, 2.912, 11.73, 11.73
262.12, 1746.70, 2.912, 11.73, 11.73
262.00, 1746.72, 2.912, 11.73, 11.73
261.89, 1746.75, 2.912, 11.73, 11.73
261.78, 1746.78, 2.912, 11.73, 11.73
261.66, 1746.80, 2.912, 11.73, 11.73
261.55, 1746.83, 2.912, 11.73, 11.73
261.43, 1746.86, 2.912, 11.73, 11.73
261.32, 1746.88, 2.912, 11.73, 11.73
261.21, 1746.91, 2.912, 11.73, 11.73
261.09, 1746.94, 2.912, 11.73, 11.73
260.98, 1746.96, 2.912, 11.73, 11.73
260.86, 1746.99, 2.912, 11.73, 11.73
260.75, 1747.02, 2.912, 11.73, 11.73
260.63, 1747.04, 2.912, 11.73, 11.73
260.52, 1747.07, 2.912, 11.73, 11.73
260.41, 1747.10, 2.912, 11.73, 11.73
260.29, 1747.12, 2.912, 11.73, 11.73
260.18, 1747.15, 2.912, 11.73, 11.73
260.06, 1747.18, 2.912, 11.73, 11.73
259.95, 1747.20, 2.912, 11.73, 11.73
259.83, 1747.23, 2.912, 11.73, 11.73
259.72, 1747.26, 2.912, 11.73, 11.73
259.61, 1747.28, 2.912, 11.73, 11.73
259.49, 1747.31, 2.912, 11.73, 11.73
259.38, 1747.34, 2.912, 11.73, 11.73
259.26, 1747.36, 2.912, 11.73, 11.73
259.15, 1747.39, 2.912, 11.73, 11.73
259.03, 1747.42, 2.912, 11.73, 11.73
258.92, 1747.44, 2.912, 11.73, 11.73
258.81, 1747.47, 2.912, 11.73, 11.73
258.69, 1747.50, 2.912, 11.73, 11.73
258.58, 1747.52, 2.912, 11.73, 11.73
258.46, 1747.55, 2.912, 11.73, 11.73
258.35, 1747.58, 2.912, 11.73, 11.73
258.24, 1747.60, 2.912, 11.73, 11.73
258.12, 1747.63, 2.912, 11.73, 11.73
258.01, 1747.66, 2.912, 11.73, 11.73
257.95, 1747.68, 2.795, 11.73, 0.00
257.90, 1747.71, 2.677, 11.73, 0.00
257.89, 1747.71, 2.668, 0.98, 0.00
257.90, 1747.71, 2.677, -0.98, 0.00
257.90, 1747.71, 2.687, -0.98, 0.00
257.91, 1747.71, 2.697, -0.98, 0.00
257.91, 1747.70, 2.707, -0.98, 0.00
257.91, 1747.70, 2.717, -0.98, 0.00
257.92, 1747.70, 2.726, -0.98, 0.00
257.92, 1747.70, 2.736, -0.98, 0.00
257.93, 1747.70, 2.746, -0.98, 0.00
257.93, 1747.70, 2.756, -0.98, 0.00
257.94, 1747.69, 2.765, -0.98, 0.00
257.94, 1747.69, 2.775, -0.98, 0.00
257.95, 1747.69, 2.785, -0.98, 0.00
257.95, 1747.69, 2.795, -0.98, 0.00
257.96, 1747.69, 2.805, -0.98, 0.00
257.96, 1747.69, 2.814, -0.98, 0.00
257.96, 1747.68, 2.824, -0.98, 0.00
257.97, 1747.68, 2.834, -0.98, 0.00
257.97, 1747.68, 2.844, -0.98, 0.00
257.98, 1747.68, 2.853, -0.98, 0.00
257.98, 1747.68, 2.863, -0.98, 0.00
257.99, 1747.68, 2.873, -0.98, 0.00
257.99, 1747.68, 2.883, -0.98, 0.00
258.00, 1747.67, 2.893, -0.98, 0.00
258.00, 1747.67, 2.902, -0.98, 0.00
258.01, 1747.67, 2.912, -0.98, 0.00
258.01, 1747.67, 2.922, -0.98, 0.00
258.02, 1747.67, 2.932, -0.98, 0.00
258.02, 1747.67, 2.941, -0.98, 0.00
258.03, 1747.67, 2.951, -0.98, 0.00
258.03, 1747.67, 2.961, -0.98, 0.00
258.04, 1747.67, 2.971, -0.98, 0.00
258.04, 1747.67, 2.981, -0.98, 0.00
258.05, 1747.67, 2.990, -0.98, 0.00
258.05, 1747.66, 3.000, -0.98, 0.00
258.05, 1747.66, 3.010, -0.98, 0.00
258.06, 1747.66, 3.020, -0.98, 0.00
258.12, 1747.65, 2.912, -0.98, -11.73
258.12, 1747.65, -3.136, -11.73, 11.73
258.00, 1747.64, -3.136, 11.73, 11.73
257.89, 1747.64, -3.136, 11.73, 11.73
257.77, 1747.64, -3.136, 11.73, 11.73
257.65, 1747.64, -3.136, 11.73, 11.73
257.54, 1747.64, -3.136, 11.73, 11.73
257.42, 1747.64, -3.136, 11.73, 11.73
257.30, 1747.64, -3.136, 11.73, 11.73
257.18, 1747.64, -3.136, 11.73, 11.73
257.07, 1747.64, -3.136, 11.73, 11.73
256.95, 1747.64, -3.136, 11.73, 11.73
256.83, 1747.64, -3.136, 11.73, 11.73
256.71, 1747.64, -3.136, 11.73, 11.73
256.60, 1747.64, -3.136, 11.73, 11.73
256.48, 1747.64, -3.136, 11.73, 11.73
256.36, 1747.64, -3.136, 11.73, 11.73
256.25, 1747.64, -3.136, 11.73, 11.73
256.13, 1747.64, -3.136, 11.73, 11.73
256.01, 1747.63, -3.136, 11.73, 11.73
255.89, 1747.63, -3.136, 11.73, 11.73
255.78, 1747.63, -3.136, 11.73, 11.73
255.66, 1747.63, -3.136, 11.73, 11.73
255.54, 1747.63, -3.136, 11.73, 11.73
255.42, 1747.63, -3.136, 11.73, 11.73
255.31, 1747.63, -3.136, 11.73, 11.73
255.19, 1747.63, -3.136, 11.73, 11.73
255.07, 1747.63, -3.136, 11.73, 11.73
254.96, 1747.63, -3.136, 11.73, 11.73
254.84, 1747.63, -3.136, 11.73, 11.73
254.72, 1747.63, -3.136, 11.73, 11.73
254.60, 1747.63, -3.136, 11.73, 11.73
254.49, 1747.63, -3.136, 11.73, 11.73
254.37, 1747.63, -3.136, 11.73, 11.73
254.25, 1747.63, -3.136, 11.73, 11.73
254.13, 1747.63, -3.136, 11.73, 11.73
254.02, 1747.62, -3.136, 11.73, 11.73
253.90, 1747.62, -3.136, 11.73, 11.73
253.78, 1747.62, -3.136, 11.73, 11.73
253.66, 1747.62, -3.136, 11.73, 11.73
253.55, 1747.62, -3.136, 11.73, 11.73
253.43, 1747.62, -3.136, 11.73, 11.73
253.31, 1747.62, -3.136, 11.73, 11.73
253.20, 1747.62, -3.136, 11.73, 11.73
253.08, 1747.62, -3.136, 11.73, 11.73
252.96, 1747.62, -3.136, 11.73, 11.73
252.84, 1747.62, -3.136, 11.73, 11.73
252.73, 1747.62, -3.136, 11.73, 11.73
252.61, 1747.62, -3.136, 11.73, 11.73
252.49, 1747.62, -3.136, 11.73, 11.73
252.37, 1747.62, -3.136, 11.73, 11.73
252.26, 1747.62, -3.136, 11.73, 11.73
252.14, 1747.62, -3.136, 11.73, 11.73
252.02, 1747.61, -3.136, 11.73, 11.73
251.91, 1747.61, -3.136, 11.73, 11.73
251.79, 1747.61, -3.136, 11.73, 11.73
251.67, 1747.61, -3.136, 11.73, 11.73
251.55, 1747.61, -3.136, 11.73, 11.73
251.44, 1747.61, -3.136, 11.73, 11.73
251.32, 1747.61, -3.136, 11.73, 11.73
251.20, 1747.61, -3.136, 11.73, 11.73
251.08, 1747.61, -3.136, 11.73, 11.73
250.97, 1747.61, -3.136, 11.73, 11.73
250.85, 1747.61, -3.136, 11.73, 11.73
250.73, 1747.61, -3.136, 11.73, 11.73
250.61, 1747.61, -3.136, 11.73, 11.73
250.50, 1747.61, -3.136, 11.73, 11.73
250.38, 1747.61, -3.136, 11.73, 11.73
250.26, 1747.61, -3.136, 11.73, 11.73
250.15, 1747.60, -3.136, 11.73, 11.73
250.03, 1747.60, -3.136, 11.73, 11.73
249.91, 1747.60, -3.136, 11.73, 11.73
249.79, 1747.60, -3.136, 11.73, 11.73
249.68, 1747.60, -3.136, 11.73, 11.73
249.56, 1747.60, -3.136, 11.73, 11.73
249.44, 1747.60, -3.136, 11.73, 11.73
249.32, 1747.60, -3.136, 11.73, 11.73
249.21, 1747.60, -3.136, 11.73, 11.73
249.09, 1747.60, -3.136, 11.73, 11.73
248.97, 1747.60, -3.136, 11.73, 11.73
248.86, 1747.60, -3.136, 11.73, 11.73
248.74, 1747.60, -3.136, 11.73, 11.73
248.62, 1747.60, -3.136, 11.73, 11.73
248.50, 1747.60, -3.136, 11.73, 11.73
248.39, 1747.60, -3.136, 11.73, 11.73
248.27, 1747.60, -3.136, 11.73, 11.73
248.15, 1747.59, -3.136, 11.73, 11.73
248.03, 1747.59, -3.136, 11.73, 11.73
247.92, 1747.59, -3.136, 11.73, 11.73
247.80, 1747.59, -3.136, 11.73, 11.73
247.74, 1747.60, 3.029, 11.73, 0.00
247.68, 1747.62, 2.912, 11.73, 0.00
247.68, 1747.62, 2.902, 0.98, 0.00
247.68, 1747.62, 2.912, -0.98, 0.00
247.69, 1747.62, 2.922, -0.98, 0.00
247.69, 1747.62, 2.932, -0.98, 0.00
247.70, 1747.62, 2.941, -0.98, 0.00
247.70, 1747.62, 2.951, -0.98, 0.00
247.71, 1747.61, 2.961, -0.98, 0.00
247.71, 1747.61, 2.971, -0.98, 0.00
247.72, 1747.61, 2.981, -0.98, 0.00
247.72, 1747.61, 2.990, -0.98, 0.00
247.73, 1747.61, 3.000, -0.98, 0.00
247.73, 1747.61, 3.010, -0.98, 0.00
247.74, 1747.61, 3.020, -0.98, 0.00
247.74, 1747.61, 3.029, -0.98, 0.00
247.75, 1747.61, 3.039, -0.98, 0.00
247.75, 1747.61, 3.049, -0.98, 0.00
247.76, 1747.61, 3.059, -0.98, 0.00
247.76, 1747.61, 3.068, -0.98, 0.00
247.77, 1747.61, 3.078, -0.98, 0.00
247.77, 1747.61, 3.088, -0.98, 0.00
247.78, 1747.61, 3.098, -0.98, 0.00
247.78, 1747.61, 3.108, -0.98, 0.00
247.79, 1747.61, 3.117, -0.98, 0.00
247.79, 1747.61, 3.127, -0.98, 0.00
247.79, 1747.61, 3.137, -0.98, 0.00
247.80, 1747.61, -3.136, -0.98, 0.00
247.80, 1747.61, -3.127, -0.98, 0.00
247.81, 1747.61, -3.117, -0.98, 0.00
247.81, 1747.61, -3.107, -0.98, 0.00
247.82, 1747.61, -3.097, -0.98, 0.00
247.82, 1747.61, -3.088, -0.98, 0.00
247.83, 1747.61, -3.078, -0.98, 0.00
247.83, 1747.61, -3.068, -0.98, 0.00
247.84, 1747.61, -3.058, -0.98, 0.00
247.84, 1747.61, -3.049, -0.98, 0.00
247.85, 1747.61, -3.039, -0.98, 0.00
247.85, 1747.61, -3.029, -0.98, 0.00
247.86, 1747.61, -3.019, -0.98, 0.00
247.86, 1747.61, -3.009, -0.98, 0.00
247.87, 1747.61, -3.000, -0.98, 0.00
247.87, 1747.61, -2.990, -0.98, 0.00
247.88, 1747.61, -2.980, -0.98, 0.00
247.88, 1747.62, -2.970, -0.98, 0.00
247.89, 1747.62, -2.961, -0.98, 0.00
247.89, 1747.62, -2.951, -0.98, 0.00
247.90, 1747.62, -2.941, -0.98, 0.00
247.90, 1747.62, -2.931, -0.98, 0.00
247.91, 1747.62, -2.921, -0.98, 0.00
247.91, 1747.62, -2.912, -0.98, 0.00
247.92, 1747.62, -2.902, -0.98, 0.00
247.92, 1747.62, -2.892, -0.98, 0.00
247.93, 1747.63, -2.882, -0.98, 0.00
247.93, 1747.63, -2.873, -0.98, 0.00
247.93, 1747.63, -2.863, -0.98, 0.00
247.94, 1747.63, -2.853, -0.98, 0.00
247.94, 1747.63, -2.843, -0.98, 0.00
247.95, 1747.63, -2.833, -0.98, 0.00
247.95, 1747.63, -2.824, -0.98, 0.00
247.96, 1747.64, -2.814, -0.98, 0.00
247.96, 1747.64, -2.804, -0.98, 0.00
247.97, 1747.64, -2.794, -0.98, 0.00
247.97, 1747.64, -2.785, -0.98, 0.00
247.98, 1747.64, -2.775, -0.98, 0.00
247.98, 1747.64, -2.765, -0.98, 0.00
247.99, 1747.65, -2.755, -0.98, 0.00
247.99, 1747.65, -2.745, -0.98, 0.00
247.99, 1747.65, -2.736, -0.98, 0.00
248.00, 1747.65, -2.726, -0.98, 0.00
248.00, 1747.65, -2.716, -0.98, 0.00
248.01, 1747.66, -2.706, -0.98, 0.00
248.01, 1747.66, -2.697, -0.98, 0.00
248.02, 1747.66, -2.687, -0.98, 0.00
248.02, 1747.66, -2.677, -0.98, 0.00
248.03, 1747.67, -2.667, -0.98, 0.00
248.03, 1747.67, -2.658, -0.98, 0.00
248.03, 1747.67, -2.648, -0.98, 0.00
248.04, 1747.67, -2.638, -0.98, 0.00
248.04, 1747.67, -2.628, -0.98, 0.00
248.05, 1747.68, -2.618, -0.98, 0.00
248.05, 1747.68, -2.609, -0.98, 0.00
248.06, 1747.68, -2.599, -0.98, 0.00
248.06, 1747.68, -2.589, -0.98, 0.00
248.06, 1747.69, -2.579, -0.98, 0.00
248.07, 1747.69, -2.570, -0.98, 0.00
248.07, 1747.69, -2.560, -0.98, 0.00
248.08, 1747.70, -2.550, -0.98, 0.00
248.08, 1747.70, -2.540, -0.98, 0.00
248.08, 1747.70, -2.530, -0.98, 0.00
248.09, 1747.70, -2.521, -0.98, 0.00
248.09, 1747.71, -2.511, -0.98, 0.00
248.10, 1747.71, -2.501, -0.98, 0.00
248.10, 1747.71, -2.491, -0.98, 0.00
248.10, 1747.72, -2.482, -0.98, 0.00
248.11, 1747.72, -2.472, -0.98, 0.00
248.11, 1747.72, -2.462, -0.98, 0.00
248.12, 1747.72, -2.452, -0.98, 0.00
248.12, 1747.73, -2.442, -0.98, 0.00
248.12, 1747.73, -2.433, -0.98, 0.00
248.13, 1747.73, -2.423, -0.98, 0.00
248.13, 1747.74, -2.413, -0.98, 0.00
248.13, 1747.74, -2.403, -0.98, 0.00
248.14, 1747.74, -2.394, -0.98, 0.00
248.14, 1747.75, -2.384, -0.98, 0.00
248.14, 1747.75, -2.374, -0.98, 0.00
248.15, 1747.75, -2.364, -0.98, 0.00
248.15, 1747.76, -2.354, -0.98, 0.00
248.15, 1747.76, -2.345, -0.98, 0.00
248.16, 1747.77, -2.335, -0.98, 0.00
248.16, 1747.77, -2.325, -0.98, 0.00
248.16, 1747.77, -2.315, -0.98, 0.00
248.17, 1747.78, -2.306, -0.98, 0.00
248.17, 1747.78, -2.296, -0.98, 0.00
248.17, 1747.78, -2.286, -0.98, 0.00
248.18, 1747.79, -2.276, -0.98, 0.00
248.18, 1747.79, -2.266, -0.98, 0.00
248.18, 1747.79, -2.257, -0.98, 0.00
248.19, 1747.80, -2.247, -0.98, 0.00
248.19, 1747.80, -2.237, -0.98, 0.00
248.19, 1747.81, -2.227, -0.98, 0.00
248.20, 1747.81, -2.218, -0.98, 0.00
248.20, 1747.81, -2.208, -0.98, 0.00
248.20, 1747.82, -2.198, -0.98, 0.00
248.20, 1747.82, -2.188, -0.98, 0.00
248.21, 1747.83, -2.179, -0.98, 0.00
248.21, 1747.83, -2.169, -0.98, 0.00
248.21, 1747.83, -2.159, -0.98, 0.00
248.22, 1747.84, -2.149, -0.98, 0.00
248.22, 1747.84, -2.139, -0.98, 0.00
248.22, 1747.85, -2.130, -0.98, 0.00
248.22, 1747.85, -2.120, -0.98, 0.00
248.23, 1747.86, -2.110, -0.98, 0.00
248.23, 1747.86, -2.100, -0.98, 0.00
248.23, 1747.86, -2.091, -0.98, 0.00
248.23, 1747.87, -2.081, -0.98, 0.00
248.24, 1747.87, -2.071, -0.98, 0.00
248.24, 1747.88, -2.061, -0.98, 0.00
248.24, 1747.88, -2.051, -0.98, 0.00
248.24, 1747.89, -2.042, -0.98, 0.00
248.24, 1747.89, -2.032, -0.98, 0.00
248.25, 1747.89, -2.022, -0.98, 0.00
248.25, 1747.90, -2.012, -0.98, 0.00
248.25, 1747.90, -2.003, -0.98, 0.00
248.25, 1747.91, -1.993, -0.98, 0.00
248.26, 1747.91, -1.983, -0.98, 0.00
248.26, 1747.92, -1.973, -0.98, 0.00
248.26, 1747.92, -1.963, -0.98, 0.00
248.26, 1747.93, -1.954, -0.98, 0.00
248.26, 1747.93, -1.944, -0.98, 0.00
248.26, 1747.93, -1.934, -0.98, 0.00
248.27, 1747.94, -1.924, -0.98, 0.00
248.27, 1747.94, -1.915, -0.98, 0.00
248.27, 1747.95, -1.905, -0.98, 0.00
248.27, 1747.95, -1.895, -0.98, 0.00
248.27, 1747.96, -1.885, -0.98, 0.00
248.27, 1747.96, -1.875, -0.98, 0.00
248.28, 1747.97, -1.866, -0.98, 0.00
248.28, 1747.97, -1.856, -0.98, 0.00
248.28, 1747.98, -1.846, -0.98, 0.00
248.28, 1747.98, -1.836, -0.98, 0.00
248.28, 1747.99, -1.827, -0.98, 0.00
248.28, 1747.99, -1.817, -0.98, 0.00
248.28, 1748.00, -1.807, -0.98, 0.00
248.28, 1748.00, -1.797, -0.98, 0.00
248.29, 1748.00, -1.788, -0.98, 0.00
248.29, 1748.01, -1.778, -0.98, 0.00
248.29, 1748.01, -1.768, -0.98, 0.00
248.29, 1748.02, -1.758, -0.98, 0.00
248.29, 1748.02, -1.748, -0.98, 0.00
248.29, 1748.03, -1.739, -0.98, 0.00
248.29, 1748.03, -1.729, -0.98, 0.00
248.29, 1748.04, -1.719, -0.98, 0.00
248.29, 1748.04, -1.709, -0.98, 0.00
248.29, 1748.05, -1.700, -0.98, 0.00
248.29, 1748.05, -1.690, -0.98, 0.00
248.29, 1748.06, -1.680, -0.98, 0.00
248.29, 1748.06, -1.670, -0.98, 0.00
248.30, 1748.07, -1.660, -0.98, 0.00
248.30, 1748.07, -1.651, -0.98, 0.00
248.30, 1748.08, -1.641, -0.98, 0.00
248.30, 1748.08, -1.631, -0.98, 0.00
248.30, 1748.09, -1.621, -0.98, 0.00
248.30, 1748.09, -1.612, -0.98, 0.00
248.30, 1748.10, -1.602, -0.98, 0.00
248.30, 1748.10, -1.592, -0.98, 0.00
248.30, 1748.11, -1.582, -0.98, 0.00
248.30, 1748.11, -1.572, -0.98, 0.00
248.30, 1748.12, -1.563, -0.98, 0.00
248.30, 1748.12, -1.553, -0.98, 0.00
248.30, 1748.13, -1.543, -0.98, 0.00
248.30, 1748.13, -1.533, -0.98, 0.00
248.30, 1748.14, -1.524, -0.98, 0.00
248.30, 1748.14, -1.514, -0.98, 0.00
248.30, 1748.15, -1.504, -0.98, 0.00
248.30, 1748.15, -1.494, -0.98, 0.00
248.30, 1748.16, -1.484, -0.98, 0.00
248.29, 1748.16, -1.475, -0.98, 0.00
248.29, 1748.17, -1.465, -0.98, 0.00
248.29, 1748.17, -1.455, -0.98, 0.00
248.29, 1748.18, -1.445, -0.98, 0.00
248.29, 1748.18, -1.436, -0.98, 0.00
248.29, 1748.18, -1.426, -0.98, 0.00
248.29, 1748.19, -1.416, -0.98, 0.00
248.29, 1748.19, -1.406, -0.98, 0.00
248.29, 1748.20, -1.397, -0.98, 0.00
248.29, 1748.20, -1.387, -0.98, 0.00
248.29, 1748.21, -1.377, -0.98, 0.00
248.29, 1748.21, -1.367, -0.98, 0.00
248.29, 1748.22, -1.357, -0.98, 0.00
248.28, 1748.22, -1.348, -0.98, 0.00
248.28, 1748.23, -1.338, -0.98, 0.00
248.28, 1748.23, -1.328, -0.98, 0.00
248.28, 1748.24, -1.318, -0.98, 0.00
248.28, 1748.24, -1.309, -0.98, 0.00
248.28, 1748.25, -1.299, -0.98, 0.00
248.28, 1748.25, -1.289, -0.98, 0.00
248.28, 1748.26, -1.279, -0.98, 0.00
248.27, 1748.26, -1.269, -0.98, 0.00
248.27, 1748.27, -1.260, -0.98, 0.00
248.27, 1748.27, -1.250, -0.98, 0.00
248.27, 1748.27, -1.240, -0.98, 0.00
248.27, 1748.28, -1.230, -0.98, 0.00
248.27, 1748.28, -1.221, -0.98, 0.00
248.27, 1748.29, -1.211, -0.98, 0.00
248.26, 1748.29, -1.201, -0.98, 0.00
248.26, 1748.30, -1.191, -0.98, 0.00
248.26, 1748.30, -1.181, -0.98, 0.00
248.26, 1748.31, -1.172, -0.98, 0.00
248.26, 1748.31, -1.162, -0.98, 0.00
248.25, 1748.32, -1.152, -0.98, 0.00
248.25, 1748.32, -1.142, -0.98, 0.00
248.25, 1748.32, -1.133, -0.98, 0.00
248.25, 1748.33, -1.123, -0.98, 0.00
248.25, 1748.33, -1.113, -0.98, 0.00
248.24, 1748.34, -1.103, -0.98, 0.00
248.24, 1748.34, -1.093, -0.98, 0.00
248.24, 1748.35, -1.084, -0.98, 0.00
248.24, 1748.35, -1.074, -0.98, 0.00
248.23, 1748.35, -1.064, -0.98, 0.00
248.23, 1748.36, -1.054, -0.98, 0.00
248.23, 1748.36, -1.045, -0.98, 0.00
248.23, 1748.37, -1.035, -0.98, 0.00
248.22, 1748.37, -1.025, -0.98, 0.00
248.22, 1748.38, -1.015, -0.98, 0.00
248.22, 1748.38, -1.006, -0.98, 0.00
248.22, 1748.38, -0.996, -0.98, 0.00
248.21, 1748.39, -0.986, -0.98, 0.00
248.21, 1748.39, -0.976, -0.98, 0.00
248.21, 1748.40, -0.966, -0.98, 0.00
248.21, 1748.40, -0.957, -0.98, 0.00
248.20, 1748.40, -0.947, -0.98, 0.00
248.20, 1748.41, -0.937, -0.98, 0.00
248.20, 1748.41, -0.927, -0.98, 0.00
248.19, 1748.42, -0.918, -0.98, 0.00
248.19, 1748.42, -0.908, -0.98, 0.00
248.19, 1748.42, -0.898, -0.98, 0.00
248.19, 1748.43, -0.888, -0.98, 0.00
248.18, 1748.43, -0.878, -0.98, 0.00
248.18, 1748.43, -0.869, -0.98, 0.00
248.18, 1748.44, -0.859, -0.98, 0.00
248.17, 1748.44, -0.849, -0.98, 0.00
248.17, 1748.45, -0.839, -0.98, 0.00
248.17, 1748.45, -0.830, -0.98, 0.00
248.16, 1748.45, -0.820, -0.98, 0.00
248.16, 1748.46, -0.810, -0.98, 0.00
248.16, 1748.46, -0.800, -0.98, 0.00
248.15, 1748.46, -0.790, -0.98, 0.00
248.15, 1748.47, -0.781, -0.98, 0.00
248.15, 1748.47, -0.771, -0.98, 0.00
248.14, 1748.47, -0.761, -0.98, 0.00
248.14, 1748.48, -0.751, -0.98, 0.00
248.13, 1748.48, -0.742, -0.98, 0.00
248.13, 1748.48, -0.732, -0.98, 0.00
248.13, 1748.49, -0.722, -0.98, 0.00
248.12, 1748.49, -0.712, -0.98, 0.00
248.12, 1748.49, -0.702, -0.98, 0.00
248.12, 1748.50, -0.693, -0.98, 0.00
248.11, 1748.50, -0.683, -0.98, 0.00
248.11, 1748.50, -0.673, -0.98, 0.00
248.11, 1748.50, -0.663, -0.98, 0.00
248.10, 1748.51, -0.654, -0.98, 0.00
248.10, 1748.51, -0.644, -0.98, 0.00
248.09, 1748.51, -0.634, -0.98, 0.00
248.09, 1748.52, -0.624, -0.98, 0.00
248.09, 1748.52, -0.614, -0.98, 0.00
248.08, 1748.52, -0.605, -0.98, 0.00
248.08, 1748.52, -0.595, -0.98, 0.00
248.07, 1748.53, -0.585, -0.98, 0.00
248.07, 1748.53, -0.575, -0.98, 0.00
248.07, 1748.53, -0.566, -0.98, 0.00
248.06, 1748.53, -0.556, -0.98, 0.00
248.06, 1748.54, -0.546, -0.98, 0.00
